Date,Adj Close,Close,High,Low,Open,Volume
4/30/24,508.7151794,512.5999756,521.2000122,505,521.2000122,39849
5/2/24,509.1121826,513,521.4000244,511.7999878,515.2000122,34940
5/3/24,517.0515137,521,526.2000122,518,518.5,26212
5/7/24,518.0439453,522,522.4000244,517.7999878,520.5999756,16425
5/8/24,523.2045898,527.2000122,530,522,526.2000122,25108
5/10/24,523.7999878,527.7999878,533.4000244,526.4000244,530.2000122,31409
5/13/24,515.5999756,515.5999756,524.2000122,515.2000122,524,26391
5/14/24,504.6000061,504.6000061,515.7999878,499.2999878,503.6000061,102612
5/15/24,531.2000122,531.2000122,532.5999756,511.2000122,511.3999939,45441
5/16/24,526.5999756,526.5999756,533.2000122,525.7999878,532.7999878,24732
5/17/24,528,528,532.4000244,524.7999878,528.5999756,16778
5/21/24,507.7999878,507.7999878,529.7999878,507.7999878,525.2000122,57359
5/22/24,510.7999878,510.7999878,515,503.7999878,507.3999939,33328
5/23/24,512,512,515.5999756,506.6000061,509,29925
5/24/24,516.4000244,516.4000244,517.2000122,509.2000122,509.2000122,17287
5/28/24,494.6000061,494.6000061,514,494.1000061,513.2000122,52708
5/29/24,481.3999939,481.3999939,490.7999878,480.1000061,490.1000061,66410
5/30/24,488.3999939,488.3999939,495.2999878,478.2999878,479,40963
5/31/24,487.1000061,487.1000061,488.3999939,480.6000061,488.3999939,41798
6/3/24,484.1000061,484.1000061,493,482.6000061,493,35975
6/4/24,492.2999878,492.2999878,498.3999939,483.1000061,486,40381
6/5/24,497.7000122,497.7000122,497.8999939,490.2999878,494.2000122,30113
6/6/24,505.2000122,505.2000122,508.3999939,503.3999939,507.2000122,28691
6/11/24,495.1000061,495.1000061,504,491.5,503.2000122,31938
6/12/24,484.8999939,484.8999939,492.1000061,474,491.8999939,48712
6/13/24,480.2000122,480.2000122,488.5,478.1000061,483.1000061,42488
6/14/24,482.7999878,482.7999878,487.6000061,478.7000122,483,37768
6/17/24,472.2999878,472.2999878,485.2999878,471.1000061,482.7999878,49982
6/18/24,477.1000061,477.1000061,481.3999939,473.6000061,474.2000122,27986
6/19/24,472.3999939,472.3999939,481.2000122,471.2999878,478.3999939,27718
6/20/24,479.2999878,479.2999878,482.2000122,472.3999939,474.2999878,42232
6/21/24,476.6000061,476.6000061,480.7000122,473.3999939,478.7000122,27046
6/24/24,487,487,487.2999878,473.5,478,23350
6/25/24,482.5,482.5,488,480.1000061,482.6000061,26272
6/26/24,485.8999939,485.8999939,494.6000061,483.5,485.7999878,26040
6/27/24,486.2999878,486.2999878,488.6000061,481.8999939,485.6000061,27359
6/28/24,489.5,489.5,493.3999939,486.7999878,487.3999939,25929
7/1/24,488.3999939,488.3999939,497.3999939,486.2000122,493.7999878,28865
7/2/24,486,486,487.1000061,478.6000061,485.7999878,16024
7/3/24,498.2999878,498.2999878,504.2000122,487.3999939,488.8999939,30992
7/4/24,503,503,504.3999939,496.5,497.7000122,11393
7/5/24,504,504,506.6000061,497.2000122,498.7999878,16052
7/8/24,502.7999878,502.7999878,506.8999939,501.7999878,504.3999939,28451
7/9/24,505,505,519.4000244,502.2000122,502.2000122,41898
7/10/24,510.3999939,510.3999939,510.7999878,503.7999878,506,13047
7/11/24,522.2000122,522.2000122,523,511.3999939,516.5999756,39594
7/12/24,518.2000122,518.2000122,523.7999878,514.2000122,521.4000244,29582
7/15/24,516.4000244,516.4000244,522.2999878,515.2000122,517,18642
7/16/24,515.2000122,515.2000122,515.4000244,510,512.4000244,26535
7/17/24,509,509,518,507.8999939,517.2000122,35679
7/18/24,520.2000122,520.2000122,528.5999756,508.2000122,514.7999878,50273
7/19/24,509.6000061,509.6000061,510,501.2000122,508.6000061,36760
7/22/24,512.4000244,512.4000244,516.2000122,508.5,511.7999878,24043
7/23/24,523,523,528,512,515.5999756,32775
7/24/24,521.5999756,521.5999756,522.7999878,514.2000122,517.4000244,30641
7/25/24,558.7999878,558.7999878,576.7999878,549.7999878,554.5999756,160522
7/26/24,580,580,582,559.7999878,559.7999878,82927
7/29/24,572,572,589.4000244,569.7999878,585,48582
7/30/24,578.5999756,578.5999756,583.5999756,573.5999756,576.2000122,43818
