maturity,Strike,Bid,Ask,Last,IVM,Volm,rate,Date,Asset
0.046575342,220,49.05000305,50.19999695,0,44.8151741,0,0.018,7/30/24,SIKA
0.046575342,230,39.05000305,40.30000305,0,37.4764061,0,0.018,7/30/24,SIKA
0.046575342,240,29.1499939,30.55000305,0,31.88170624,0,0.018,7/30/24,SIKA
0.046575342,250,19.54998779,21.05000305,19.44999695,27.17948914,22,0.018,7/30/24,SIKA
0.046575342,260,11.05000019,12.55000019,0,24.74037552,0,0.018,7/30/24,SIKA
0.046575342,270,4.600000381,6,0,22.83652878,3,0.018,7/30/24,SIKA
0.046575342,280,1.199999809,2.400000572,0,22.33071518,0,0.018,7/30/24,SIKA
0.046575342,290,0.02,1.050000191,0,23.09792328,0,0.018,7/30/24,SIKA
0.046575342,300,0.010000002,0.649999976,0,27.85546112,0,0.018,7/30/24,SIKA
0.046575342,310,0.010000002,0.430000007,0,32.12741089,0,0.018,7/30/24,SIKA
0.046575342,245,23.45000076,26.95000076,25.1000061,30.41732216,0,0.018,7/30/24,SIKA
0.046575342,250,20.04999924,21.10000038,20.3500061,28.77218437,0,0.018,7/30/24,SIKA
0.046575342,255,15.64999962,16.64999962,15.85000038,27.13012314,0,0.018,7/30/24,SIKA
0.046575342,260,11.60000038,12.55000019,11.69999981,25.75823975,0,0.018,7/30/24,SIKA
0.046575342,265,7.050000191,10.10000038,8.149999619,24.95643616,0,0.018,7/30/24,SIKA
0.046575342,270,5.25,6.099999905,5.300000191,24.16963196,0,0.018,7/30/24,SIKA
0.046575342,275,2,5,3.159999847,23.63989449,0,0.018,7/30/24,SIKA
0.046575342,280,0.49000001,3.49000001,1.739999771,23.20984268,0,0.018,7/30/24,SIKA
0.046575342,285,0.050000001,3,0.949999988,26.07924843,0,0.018,7/30/24,SIKA
0.046575342,290,0.050000001,3,0.560000002,31.03687096,0,0.018,7/30/24,SIKA
0.046575342,220,45.19999695,54.19999695,0,51.5569458,0,0.018,7/30/24,SIKA
0.046575342,230,36.19999695,43.3999939,0,43.60216522,0,0.018,7/30/24,SIKA
0.046575342,240,27.8999939,32.1499939,0,36.61203384,0,0.018,7/30/24,SIKA
