Date,Adj Close,Close,High,Low,Open,Volume
4/27/23,540.161438,547.5999756,551,543.7999878,545.4000244,32417
4/28/23,546.8690796,554.4000244,554.7999878,547.7999878,548.7999878,25842
5/2/23,544.6989136,552.2000122,559.5999756,549,555.2000122,19058
5/3/23,573.8968506,581.7999878,581.7999878,552.7999878,553.2000122,83383
5/4/23,573.5023804,581.4000244,581.5999756,572.5999756,577,45956
5/5/23,570.5430908,578.4000244,582.4000244,576,580.2000122,42445
5/9/23,559.3286743,563.5999756,573.2000122,559.5999756,572.5999756,43414
5/10/23,561.7105103,566,568,559.7999878,560.5999756,28413
5/11/23,572.6271362,577,577.4000244,564,564,38577
5/12/23,570.046875,574.4000244,581.7999878,571.2000122,581,22440
5/15/23,581.55896,586,588,577.5999756,577.5999756,22558
5/16/23,578.581665,583,586.7999878,580.7999878,584.7999878,39783
5/17/23,562.3059082,566.5999756,576.4000244,562.2000122,576.4000244,40740
5/18/23,562.3059082,566.5999756,566.5999756,566.5999756,566.5999756,0
5/19/23,576.3983154,580.7999878,581.2000122,568.2000122,568.2000122,30799
5/22/23,572.8256226,577.2000122,579.2000122,570.4000244,577.7999878,35874
5/23/23,576.1998291,580.5999756,588.4000244,573.4000244,574.9000244,42223
5/24/23,558.534729,562.7999878,576.2000122,562.4000244,575,27806
5/25/23,560.321106,564.5999756,569.7999878,563.7999878,567.4000244,26493
5/26/23,568.260437,572.5999756,574.5999756,566,566.7999878,16978
5/30/23,561.7105103,566,574.4000244,566,571,23273
5/31/23,563.8938599,568.2000122,574,559,564.4000244,19393
6/1/23,571.0393066,575.4000244,579.2000122,569.7999878,572.4000244,24929
6/2/23,581.3604126,585.7999878,588.4000244,575.2000122,575.5999756,26949
6/5/23,572.0317383,576.4000244,587.7999878,576.4000244,584,19884
6/6/23,594.2619019,598.7999878,599.2000122,577.7999878,577.7999878,51493
6/7/23,580.1694946,584.5999756,593.4000244,581.4000244,592.7999878,32889
6/8/23,573.0241089,577.4000244,581.7999878,574.4000244,579.7999878,13393
6/9/23,559.130249,563.4000244,579,562.5999756,579,30574
6/12/23,556.1529541,560.4000244,567.2000122,559.5,567.2000122,40422
6/13/23,561.3135376,565.5999756,565.7999878,553,564.5999756,18981
6/14/23,565.4816895,569.7999878,573.4000244,563.5999756,566.2000122,25621
6/15/23,560.321106,564.5999756,564.5999756,553.4000244,563,28254
6/16/23,564.8862915,569.2000122,574.5999756,567.4000244,568.2000122,19622
6/19/23,544.8393555,549,552.2000122,542.5999756,548.7999878,44501
6/20/23,528.166687,532.2000122,547.2000122,531.4000244,547.2000122,59641
6/21/23,524.3955078,528.4000244,536.4000244,526,528,30029
6/22/23,523.0060425,527,528.5999756,521.4000244,521.4000244,24477
6/23/23,526.3803101,530.4000244,531.5999756,523.4000244,525.4000244,22721
6/26/23,518.8378906,522.7999878,530.4000244,520,527.7999878,20139
6/27/23,511.0970154,515,524.7999878,512.5999756,523.2000122,26393
6/28/23,523.9984741,528,530.2999878,518,523,30075
6/29/23,518.440979,522.4000244,530.5999756,520.7999878,530,25826
6/30/23,529.357605,533.4000244,534.7999878,525.5999756,525.5999756,20058
7/3/23,525.9833374,530,534.2000122,528.7999878,533.5999756,24933
7/4/23,525.7848511,529.7999878,532.4000244,519.4000244,524.5999756,26287
7/5/23,526.1818237,530.2000122,531.7999878,525.5999756,527.5999756,32895
7/6/23,523.7999878,527.7999878,535.4000244,526,527.4000244,35523
7/7/23,522.8075562,526.7999878,532,524.2999878,528.5999756,29701
7/10/23,525.9833374,530,531.5999756,523.5999756,525.4000244,21582
7/11/23,528.166687,532.2000122,533,529.4000244,532.7999878,18127
7/12/23,529.7545166,533.7999878,534.4000244,527.5,531.2000122,24012
7/13/23,527.571167,531.5999756,542.4000244,530.7999878,534.5999756,29390
7/14/23,540.274231,544.4000244,545.2000122,533.4000244,534.2000122,19808
7/17/23,537.4954224,541.5999756,545.7999878,539.5999756,544.2000122,21583
7/18/23,546.8241577,551,551.2000122,537.5999756,538.9000244,22463
7/19/23,550.5953979,554.7999878,557.4000244,547.2000122,550.4000244,36240
7/20/23,549.2059937,553.4000244,554.5999756,545.4000244,550.2000122,26865
7/21/23,490.1569214,493.8999939,517,487.6000061,513.4000244,260465
7/24/23,482.614502,486.2999878,493.7000122,484.5,484.5,89291
7/25/23,493.1341858,496.8999939,499.3999939,479.8999939,482.7999878,71913
7/26/23,486.4849854,490.2000122,495.7000122,486.6000061,494.1000061,50990
7/27/23,497.9970398,501.7999878,509.3999939,494.3999939,495.1000061,46276
7/28/23,500.3788757,504.2000122,505.2000122,494.2999878,500,32048
7/31/23,501.3713074,505.2000122,511.6000061,499,506.3999939,26547
8/1/23,501.3713074,505.2000122,505.2000122,505.2000122,505.2000122,0
8/2/23,492.8364563,496.6000061,502.3999939,490.8999939,491.75,48111
8/3/23,486.1872253,489.8999939,498.8999939,488.7999878,494.2000122,40809
8/4/23,489.9584656,493.7000122,494.1000061,485.2999878,487.7000122,35264
8/7/23,486.3857422,490.1000061,495.7999878,487.7999878,491,22399
8/8/23,488.4698181,492.2000122,494.2000122,485.5,488.6499939,43072
8/9/23,485.4925537,489.2000122,497.5,488.2999878,496.7000122,23961
8/10/23,495.1190186,498.8999939,504,490.1000061,490.6000061,25241
8/11/23,491.4470825,495.2000122,500,490.7999878,496.1000061,14445
8/14/23,489.9584656,493.7000122,499.2999878,493.6000061,496.3999939,14130
8/15/23,484.6986084,488.3999939,493.2000122,486.8999939,492.7000122,18088
8/16/23,475.0721436,478.7000122,487.7000122,477.7999878,487,27043
8/17/23,469.2168274,472.7999878,477.1000061,471.3999939,475.3999939,29364
8/18/23,469.0183411,472.6000061,473.5,467.5,472.2000122,16807
8/21/23,466.3388062,469.8999939,476.2999878,469.7000122,472.1000061,22258
8/22/23,465.5448914,469.1000061,472.6000061,468.2999878,470.2999878,37288
8/23/23,476.4615173,480.1000061,482,471.7000122,471.7000122,33439
8/24/23,474.2781677,477.8999939,486.7000122,477.5,484.8999939,21010
8/25/23,467.9266968,471.5,476.5,470.7000122,476,34474
8/29/23,475.5683289,479.2000122,480.7000122,474,476.2000122,21884
8/30/23,479.8357544,483.5,487.7000122,476.7999878,481.1000061,33479
8/31/23,485.4925537,489.2000122,494.1499939,482,484.6000061,46201
9/1/23,489.4622498,493.2000122,494.3999939,484.6000061,487.2999878,19605
9/4/23,492.1417542,495.8999939,502.7999878,491.3999939,491.5,20087
9/5/23,490.8516235,494.6000061,498.3999939,493.1000061,494.6000061,29052
9/6/23,492.7372131,496.5,500.6000061,489.7000122,490.3500061,19864
9/7/23,489.7599487,493.5,496,487.7999878,495,23022
9/8/23,481.4236145,485.1000061,492,483.6000061,491.2999878,22107
9/11/23,483.5077209,487.2000122,493,483.2000122,485.2999878,27958
9/12/23,480.4312134,484.1000061,488.6000061,481,488.3999939,20703
9/13/23,482.0190735,485.7000122,486.8999939,473.8999939,482.2000122,28368
9/14/23,486.6834412,490.3999939,491.1000061,480.7999878,486.2999878,19818
9/15/23,495.5159912,499.2999878,500.2000122,493.9500122,493.9500122,32642
9/18/23,421.9776001,425.2000122,473.7000122,424.3999939,473.7000122,353329
9/19/23,427.8328552,431.1000061,439.8999939,424.6000061,428.8999939,130732
9/20/23,438.5509949,441.8999939,443.2999878,432.2000122,436.7999878,67454
9/21/23,424.2601318,427.5,446.7999878,426.8999939,443,87729
9/22/23,422.1760559,425.3999939,430.2000122,423.6000061,425,56395
9/25/23,429.3215027,432.6000061,436.7999878,426.2000122,427.5,35694
9/26/23,428.4283142,431.7000122,435.6000061,425.7999878,428,51239
9/27/23,418.5041199,421.7000122,435.5,420.2000122,435.3999939,58875
9/28/23,418.305603,421.5,423.5,415,422.5,37664
9/29/23,423.1684875,426.3999939,431.5,424,424.8999939,37182
10/2/23,416.7177429,419.8999939,428.1000061,417.1000061,426.8999939,42108
10/3/23,413.442749,416.6000061,420.1000061,413.2000122,419,41831
10/4/23,413.0458069,416.2000122,421.5,411.1000061,411.2999878,29088
10/5/23,416.5192566,419.7000122,424.1000061,419.5,421.3999939,31317
10/6/23,424.5578613,427.7999878,428.7999878,420.2999878,422.7000122,35652
10/9/23,425.9472656,429.2000122,432.2000122,428.3999939,430.1000061,32428
10/10/23,431.3063354,434.6000061,435.2999878,424,430.2999878,50459
10/11/23,428.5275574,431.7999878,438,430.7999878,435.1000061,20915
10/12/23,428.7260437,432,436.7000122,431,433.7000122,31116
10/13/23,415.7253113,418.8999939,426.5,415.3999939,423.1000061,78139
10/16/23,422.821106,426.0499878,426.7000122,420.3999939,421.25,52834
10/17/23,353.7982178,356.5,399,351.7999878,399,469983
10/18/23,341.8891602,344.5,354.2999878,343.3999939,354.2999878,220818
10/19/23,340.3013,342.8999939,353.7000122,340.8999939,350.1000061,93267
10/20/23,331.1710205,333.7000122,341.2000122,330.3999939,340,136616
10/23/23,326.2089233,328.7000122,336,322.1499939,333.3999939,103699
10/24/23,328.1937561,330.7000122,336.7000122,326.3999939,331.3999939,120097
10/25/23,312.9104614,315.2999878,329.1000061,310.3999939,326.8999939,170738
10/26/23,314.2006226,316.6000061,317.8999939,308.6000061,311.1000061,82869
10/27/23,313.0097046,315.3999939,316.3999939,311.7000122,313.8999939,59884
10/30/23,309.0400085,311.3999939,317.2000122,308.7999878,315.8999939,65920
10/31/23,314.2006226,316.6000061,319.2000122,309.3999939,310.5,122525
11/1/23,317.3763428,319.7999878,321.6000061,313.7000122,318.6000061,80960
11/2/23,318.7657471,321.2000122,326.6000061,318.2000122,320.6000061,138589
11/3/23,328.5907288,331.1000061,336.7999878,319.5,321.7000122,130639
11/6/23,328.1937561,330.7000122,332.7999878,327.2000122,331.2000122,62749
11/7/23,328.9877014,331.5,334.7000122,328.5,329.5,51325
11/8/23,333.1558838,335.7000122,339.7999878,331.7000122,332,40758
11/9/23,337.0263062,339.6000061,343.3999939,335.5,335.7000122,55018
11/10/23,331.0717773,333.6000061,336.6000061,331.8999939,335.5,46350
11/13/23,331.5679932,334.1000061,336.8999939,330.1000061,336.2999878,49856
11/14/23,346.2558289,348.8999939,349.5,336,337.2999878,76151
11/15/23,348.9353638,351.6000061,358.9500122,349.7000122,350.2000122,61536
11/16/23,350.7217102,353.3999939,355.1000061,349.1000061,350.1000061,46461
11/17/23,352.5080872,355.2000122,359.2999878,353.7999878,355.6000061,43524
11/20/23,354.2944336,357,358.6000061,353.7999878,356.1000061,43176
11/21/23,350.3247375,353,360.2999878,352.2000122,359.2999878,54922
11/22/23,349.7292786,352.3999939,355.6000061,349.7999878,352.5,48069
11/23/23,348.8361206,351.5,352.6000061,346.5,352.2999878,24359
11/24/23,347.4467468,350.1000061,351.7000122,348.6000061,351.1000061,34288
11/27/23,341.9884033,344.6000061,349.6000061,344.1000061,348.5,50605
11/28/23,335.8353882,338.3999939,342.2000122,335.1000061,342.1499939,56986
11/29/23,338.5149536,341.1000061,343.2000122,339.5,339.8999939,48476
11/30/23,335.2399292,337.7999878,338.2999878,332.8999939,337.6000061,68055
12/1/23,333.3543396,335.8999939,337.1000061,332.6499939,336,45156
12/4/23,326.605896,329.1000061,332.8999939,325.6000061,332.1000061,91911
12/5/23,330.9725342,333.5,335.5,327.3999939,331,54928
12/6/23,331.6672363,334.2000122,335.3999939,330.3999939,333.3999939,85801
12/7/23,326.2089233,328.7000122,333.1000061,327.2000122,333.1000061,58026
12/8/23,326.010437,328.5,332.5,324.3999939,327.7999878,66971
12/11/23,323.3308716,325.7999878,326,316,317.5,108619
12/12/23,323.9263306,326.3999939,330.1000061,322.2000122,323.6000061,62381
12/13/23,325.2164917,327.7000122,330.3999939,325.1000061,326.8999939,48829
12/14/23,330.1786194,332.7000122,336.6000061,329.2999878,335.7999878,134132
12/15/23,339.4081116,342,343,331,331.7000122,78982
12/18/23,340.0035706,342.6000061,343.5,336.7999878,339.1000061,48492
12/19/23,348.8361206,351.5,352.2999878,343.2000122,343.5,73566
12/20/23,342.7823486,345.3999939,351.2999878,343.5,350.2000122,60731
12/21/23,342.2861328,344.8999939,346.1000061,340.7999878,343.2999878,40547
12/22/23,351.813385,354.5,355.2000122,346.3999939,346.6000061,57087
12/27/23,349.5308228,352.2000122,358.5,351.7999878,355.2999878,50637
12/28/23,349.6300354,352.2999878,354.3500061,351.2000122,352.8999939,37680
12/29/23,351.217926,353.8999939,355.5,349.7000122,351.6000061,33503
1/2/24,351.217926,353.8999939,353.8999939,353.8999939,353.8999939,0
1/3/24,346.652771,349.2999878,360.8999939,347.1000061,353.7999878,76575
1/4/24,348.3399048,351,353.3999939,347.2000122,347.2000122,28619
1/5/24,341.3929443,344,348.2000122,341.7000122,347.5,43953
1/8/24,345.1641541,347.7999878,348.5,339,345.1000061,27844
1/9/24,355.6838074,358.3999939,358.5,348.2000122,352.3999939,34778
1/10/24,361.539093,364.2999878,367.5,353.5,353.8999939,87665
1/11/24,366.4019775,369.2000122,377.1000061,367.7000122,369.9500122,105907
1/12/24,365.6080322,368.3999939,373,365.1000061,371.7999878,60175
1/15/24,366.4019775,369.2000122,371.2999878,367.1000061,367.8999939,25748
1/16/24,367.3944092,370.2000122,371.3999939,360.2999878,368.5,51948
1/17/24,356.7754822,359.5,365.2999878,356.8999939,364.1499939,61128
1/18/24,361.0428772,363.7999878,364.2000122,359.6000061,360.8999939,65510
1/19/24,360.4474487,363.2000122,368.3999939,354.5,368.2999878,59718
1/22/24,368.6845398,371.5,372.7999878,364.8999939,365.1000061,61298
1/23/24,371.2648621,374.1000061,381.5,372.7000122,375.7000122,62658
1/24/24,377.616333,380.5,383.1000061,374.2000122,378.2999878,61600
1/25/24,369.0815125,371.8999939,383.2999878,371.5499878,382.3999939,117149
1/26/24,420.6874084,423.8999939,427.1000061,394,394,259268
1/29/24,432.5964661,435.8999939,437.2999878,417.7000122,420.1000061,133898
1/30/24,430.2146606,433.5,439,427.3999939,438.7000122,88791
1/31/24,423.8631897,427.1000061,437.2999878,424.2999878,433.1000061,76107
2/1/24,424.0616455,427.2999878,435.7999878,422.7000122,423.7999878,68065
2/2/24,427.2373962,430.5,448.3999939,429.8999939,443.7999878,75588
2/5/24,440.6351013,444,447.8999939,429.7999878,429.7999878,120098
2/6/24,444.5055237,447.8999939,450.8999939,443,448.6000061,59543
2/7/24,433.6881409,437,445.2000122,433.8999939,443.3999939,73897
2/8/24,441.627533,445,451.5,439.5,439.5,65327
2/9/24,442.2229919,445.6000061,449.8999939,442.5,445.1000061,29586
2/12/24,443.3146362,446.7000122,449.7000122,442.8999939,448.7000122,31435
2/13/24,439.2457275,442.6000061,451,437.7000122,449.1000061,54019
2/14/24,458.8956299,462.3999939,464.1000061,444.6000061,444.6000061,96500
2/15/24,455.6206665,459.1000061,466,455.5,465.7000122,34087
2/16/24,453.7350769,457.2000122,460.5,453.7000122,459,43840
2/19/24,454.6282349,458.1000061,458.8999939,447.6000061,452.2000122,36219
2/20/24,452.296051,455.75,458.7999878,453.5,456,30640
2/21/24,450.3608093,453.7999878,457.5,447.7000122,452.1000061,28146
2/22/24,456.5138245,460,460.6000061,456.2999878,458.8999939,42187
2/23/24,460.6820068,464.2000122,464.7999878,460.2000122,461.1000061,32039
2/26/24,458.2009583,461.7000122,465.7999878,459.3999939,464,24951
2/27/24,461.5751953,465.1000061,465.2999878,460.7999878,463.5,21458
2/28/24,460.9797363,464.5,466.7000122,462,462.7000122,40527
2/29/24,458.6971741,462.2000122,468.6499939,461.3999939,465.7999878,38661
3/1/24,463.6592712,467.2000122,467.7000122,457.6000061,464.7000122,34544
3/4/24,459.3918457,462.8999939,467.1000061,459.2999878,466.4500122,29938
3/5/24,451.7502136,455.2000122,465,453.8999939,462.8999939,31298
3/6/24,449.6661377,453.1000061,458.8500061,451.8999939,454,42196
3/7/24,461.972168,465.5,465.7999878,457.5,461.3999939,26420
3/8/24,461.0789795,464.6000061,467.3999939,460.8999939,466.5,33635
3/11/24,457.0100403,460.5,464.3999939,458.7999878,462.7999878,33898
3/12/24,455.5214233,459,465.3999939,454.7999878,462.3999939,30536
3/13/24,465.3463745,468.8999939,472.5,458.6000061,461.2000122,48509
3/14/24,477.3546753,481,482.3999939,472.7999878,478,46312
3/15/24,471.8963623,475.5,484.7999878,473.6000061,484.7000122,37856
3/18/24,474.9728699,478.6000061,483.8999939,475.7999878,477.1000061,29826
3/19/24,477.9501343,481.6000061,481.8999939,474.6000061,476.5,28926
3/20/24,507.1273193,511,522,498.5,503.7999878,129120
3/21/24,520.6242065,524.5999756,526.4000244,506.8999939,510.2000122,65018
3/22/24,526.1818237,530.2000122,531,522.5999756,523.4000244,43867
3/25/24,520.0288086,524,533,520.5999756,533,47009
3/26/24,532.1363525,536.2000122,538,526.4000244,529.4000244,36627
3/27/24,531.9378662,536,540.5999756,531.4000244,535.2999878,39185
3/28/24,536.3045654,540.4000244,547.2000122,537.7999878,545.5999756,50696
4/2/24,527.7696533,531.7999878,555.4000244,529.2000122,555.2000122,52081
4/3/24,540.4726563,544.5999756,547.2000122,530.5999756,535.7999878,50754
4/4/24,546.8241577,551,554.2000122,543.5999756,547.7999878,53345
4/5/24,542.0605469,546.2000122,548.7999878,535.7999878,540.2000122,76169
4/8/24,550.9923706,555.2000122,559.4000244,544.2000122,545.2000122,45205
4/9/24,540.6711426,544.7999878,557.4000244,541.5999756,555.5999756,39224
4/10/24,530.7469482,534.7999878,551,530.7999878,547.2000122,40185
4/11/24,535.7090454,539.7999878,546,531.5999756,531.5999756,30855
4/12/24,527.571167,531.5999756,547.5999756,530.7999878,544.7999878,28925
4/15/24,529.357605,533.4000244,538.5999756,532.4000244,537.5999756,22324
4/16/24,522.0136719,526,528.7999878,513.4000244,523.4000244,45755
4/17/24,517.845459,521.7999878,526,519,524.2000122,34012
4/18/24,507.7227783,511.6000061,516.5999756,505.7999878,512.7999878,72607
4/19/24,497.203125,501,506,499.3500061,500,55701
4/22/24,502.3637085,506.2000122,510.3999939,502,508.7999878,51839
4/23/24,523.9984741,528,528.5999756,509.6000061,509.7999878,38809
4/24/24,518.6394043,522.5999756,528,520.4000244,523,26954
4/25/24,510.3031006,514.2000122,522.7999878,510.6000061,522.5999756,34845
4/26/24,523.6015015,527.5999756,527.7999878,517.7999878,517.7999878,30414
4/29/24,518.2424316,522.2000122,527.9000244,521.7999878,527.5999756,30126
4/30/24,508.7151794,512.5999756,521.2000122,505,521.2000122,39849
5/1/24,508.7151794,512.5999756,512.5999756,512.5999756,512.5999756,0
5/2/24,509.1121826,513,521.4000244,511.7999878,515.2000122,34940
5/3/24,517.0515137,521,526.2000122,518,518.5,26212
5/7/24,518.0439453,522,522.4000244,517.7999878,520.5999756,16425
5/8/24,523.2045898,527.2000122,530,522,526.2000122,25108
5/9/24,523.2045898,527.2000122,527.2000122,527.2000122,527.2000122,0
5/10/24,523.7999878,527.7999878,533.4000244,526.4000244,530.2000122,31409
5/13/24,515.5999756,515.5999756,524.2000122,515.2000122,524,26391
5/14/24,504.6000061,504.6000061,515.7999878,499.2999878,503.6000061,102612
5/15/24,531.2000122,531.2000122,532.5999756,511.2000122,511.3999939,45441
5/16/24,526.5999756,526.5999756,533.2000122,525.7999878,532.7999878,24732
5/17/24,528,528,532.4000244,524.7999878,528.5999756,16778
5/20/24,528,528,528,528,528,0
5/21/24,507.7999878,507.7999878,529.7999878,507.7999878,525.2000122,57359
5/22/24,510.7999878,510.7999878,515,503.7999878,507.3999939,33328
5/23/24,512,512,515.5999756,506.6000061,509,29925
5/24/24,516.4000244,516.4000244,517.2000122,509.2000122,509.2000122,17287
5/28/24,494.6000061,494.6000061,514,494.1000061,513.2000122,52708
5/29/24,481.3999939,481.3999939,490.7999878,480.1000061,490.1000061,66410
5/30/24,488.3999939,488.3999939,495.2999878,478.2999878,479,40963
5/31/24,487.1000061,487.1000061,488.3999939,480.6000061,488.3999939,41798
6/3/24,484.1000061,484.1000061,493,482.6000061,493,35975
6/4/24,492.2999878,492.2999878,498.3999939,483.1000061,486,40381
6/5/24,497.7000122,497.7000122,497.8999939,490.2999878,494.2000122,30113
6/6/24,505.2000122,505.2000122,508.3999939,503.3999939,507.2000122,28691
6/7/24,501.2000122,501.2000122,510.6000061,500,510.3999939,25742
6/10/24,500.3999939,500.3999939,502.7999878,495.5,495.5,14687
6/11/24,495.1000061,495.1000061,504,491.5,503.2000122,31938
6/12/24,484.8999939,484.8999939,492.1000061,474,491.8999939,48712
6/13/24,480.2000122,480.2000122,488.5,478.1000061,483.1000061,42488
6/14/24,482.7999878,482.7999878,487.6000061,478.7000122,483,37768
6/17/24,472.2999878,472.2999878,485.2999878,471.1000061,482.7999878,49982
6/18/24,477.1000061,477.1000061,481.3999939,473.6000061,474.2000122,27986
6/19/24,472.3999939,472.3999939,481.2000122,471.2999878,478.3999939,27718
6/20/24,479.2999878,479.2999878,482.2000122,472.3999939,474.2999878,42232
6/21/24,476.6000061,476.6000061,480.7000122,473.3999939,478.7000122,27046
6/24/24,487,487,487.2999878,473.5,478,23350
6/25/24,482.5,482.5,488,480.1000061,482.6000061,26272
6/26/24,485.8999939,485.8999939,494.6000061,483.5,485.7999878,26040
6/27/24,486.2999878,486.2999878,488.6000061,481.8999939,485.6000061,27359
6/28/24,489.5,489.5,493.3999939,486.7999878,487.3999939,25929
7/1/24,488.3999939,488.3999939,497.3999939,486.2000122,493.7999878,28865
7/2/24,486,486,487.1000061,478.6000061,485.7999878,16024
7/3/24,498.2999878,498.2999878,504.2000122,487.3999939,488.8999939,30992
7/4/24,503,503,504.3999939,496.5,497.7000122,11393
7/5/24,504,504,506.6000061,497.2000122,498.7999878,16052
7/8/24,502.7999878,502.7999878,506.8999939,501.7999878,504.3999939,28451
7/9/24,505,505,519.4000244,502.2000122,502.2000122,41898
7/10/24,510.3999939,510.3999939,510.7999878,503.7999878,506,13047
7/11/24,522.2000122,522.2000122,523,511.3999939,516.5999756,39594
7/12/24,518.2000122,518.2000122,523.7999878,514.2000122,521.4000244,29582
7/15/24,516.4000244,516.4000244,522.2999878,515.2000122,517,18642
7/16/24,515.2000122,515.2000122,515.4000244,510,512.4000244,26535
7/17/24,509,509,518,507.8999939,517.2000122,35679
7/18/24,520.2000122,520.2000122,528.5999756,508.2000122,514.7999878,50273
7/19/24,509.6000061,509.6000061,510,501.2000122,508.6000061,36760
7/22/24,512.4000244,512.4000244,516.2000122,508.5,511.7999878,24043
7/23/24,523,523,528,512,515.5999756,32775
7/24/24,521.5999756,521.5999756,522.7999878,514.2000122,517.4000244,30641
7/25/24,558.7999878,558.7999878,576.7999878,549.7999878,554.5999756,160522
7/26/24,580,580,582,559.7999878,559.7999878,82927
7/29/24,572,572,589.4000244,569.7999878,585,48582
