"Date","Price","Open","High","Low","Change %"
"11/01/2024","0.670","0.670","0.740","0.640","3.08%"
"10/31/2024","0.650","0.670","0.750","0.650","-4.41%"
"10/30/2024","0.680","0.680","0.750","0.670","-11.69%"
"10/29/2024","0.770","0.700","0.770","0.680","11.59%"
"10/28/2024","0.690","0.700","0.760","0.680","-13.75%"
"10/25/2024","0.800","0.700","0.770","0.700","14.29%"
"10/24/2024","0.700","0.700","0.830","0.690","1.45%"
"10/23/2024","0.690","0.690","0.770","0.690","-1.43%"
"10/22/2024","0.700","0.700","0.770","0.690","-9.09%"
"10/21/2024","0.770","0.690","0.770","0.680","13.24%"
"10/18/2024","0.680","0.680","0.690","0.680","4.62%"
"10/17/2024","0.650","0.660","0.680","0.650","-4.41%"
"10/16/2024","0.680","0.650","0.670","0.650","1.49%"
"10/15/2024","0.670","0.650","0.660","0.640","-8.22%"
"10/14/2024","0.730","0.650","0.750","0.640","-14.12%"
"10/11/2024","0.850","0.830","0.930","0.830","25.00%"
"10/10/2024","0.680","0.670","0.700","0.640","-28.42%"
"10/09/2024","0.950","0.940","0.980","0.940","39.71%"
"10/08/2024","0.680","0.680","0.720","0.660","-2.86%"
"10/07/2024","0.700","0.830","0.830","0.680","-17.65%"
"10/04/2024","0.850","0.950","0.990","0.850","26.87%"
"10/03/2024","0.670","0.630","0.670","0.630","-18.29%"
"10/02/2024","0.820","0.910","0.920","0.820","-3.53%"
"10/01/2024","0.850","0.900","0.920","0.830","3.66%"
"09/30/2024","0.820","0.920","0.940","0.830","20.59%"
"09/27/2024","0.680","0.690","0.750","0.660","-17.07%"
"09/26/2024","0.820","0.970","1.000","0.820","-2.38%"
"09/25/2024","0.840","0.840","0.900","0.810","-2.33%"
"09/24/2024","0.860","0.850","0.900","0.800","0.00%"
"09/23/2024","0.860","0.890","0.910","0.850","-4.44%"
"09/20/2024","0.900","0.900","0.940","0.880","1.12%"
"09/19/2024","0.890","0.900","0.970","0.890","0.00%"
"09/18/2024","0.890","0.960","0.960","0.890","-2.20%"
"09/17/2024","0.910","0.960","1.000","0.890","-3.19%"
"09/16/2024","0.940","0.990","1.000","0.940","-1.05%"
"09/13/2024","0.950","1.030","1.090","0.950","-3.06%"
"09/12/2024","0.980","1.070","1.100","0.980","2.08%"
"09/11/2024","0.960","1.000","1.090","0.960","-1.03%"
"09/10/2024","0.970","1.000","1.060","0.970","0.00%"
"09/09/2024","0.970","1.080","1.090","0.970","-6.73%"
"09/06/2024","1.040","1.130","1.210","1.040","22.35%"
"09/05/2024","0.850","0.840","0.860","0.830","-2.30%"
"09/04/2024","0.870","0.870","0.880","0.850","-13.86%"
"09/03/2024","1.010","1.140","1.150","1.010","-2.88%"
"09/02/2024","1.040","1.130","1.170","1.040","0.00%"
"08/30/2024","1.040","1.140","1.170","1.040","-0.95%"
"08/29/2024","1.050","1.160","1.190","1.050","0.00%"
"08/28/2024","1.050","1.190","1.200","1.050","9.37%"
"08/27/2024","0.960","0.930","0.950","0.920","2.13%"
"08/26/2024","0.940","0.950","1.030","0.940","-9.62%"
"08/23/2024","1.040","0.970","1.040","0.960","0.00%"
"08/22/2024","1.040","0.980","1.040","0.970","-1.89%"
"08/21/2024","1.060","1.170","1.210","1.060","10.42%"
"08/20/2024","0.960","0.960","0.970","0.960","-8.57%"
"08/19/2024","1.050","0.980","1.190","0.970","0.00%"
"08/16/2024","1.050","1.180","1.190","1.040","7.14%"
"08/15/2024","0.980","0.980","1.000","0.930","1.03%"
"08/14/2024","0.970","0.950","0.970","0.940","-1.02%"
"08/13/2024","0.980","0.970","1.200","0.970","-1.01%"
"08/12/2024","0.990","0.980","1.050","0.970","-4.81%"
"08/09/2024","1.040","1.040","1.040","1.040","4.00%"
"08/08/2024","1.000","0.980","1.040","0.960","-8.26%"
"08/07/2024","1.090","1.190","1.210","1.090","14.74%"
"08/06/2024","0.950","0.970","1.010","0.930","-20.17%"
"08/05/2024","1.190","1.250","1.290","1.140","13.33%"
"08/02/2024","1.050","0.980","1.050","0.950","0.00%"
"07/31/2024","1.050","0.990","1.050","0.970","-0.94%"
"07/30/2024","1.060","1.000","1.050","0.990","6.00%"
"07/29/2024","1.000","1.010","1.100","0.990","-4.76%"
"07/26/2024","1.050","1.000","1.050","0.990","6.06%"
"07/25/2024","0.990","0.980","1.050","0.970","-10.00%"
"07/24/2024","1.100","1.220","1.230","1.090","0.92%"
