"Date","Price","Open","High","Low","Change %"
"11/01/2024","0.730","0.710","0.900","0.690","2.82%"
"10/31/2024","0.710","0.710","0.850","0.700","-7.79%"
"10/30/2024","0.770","0.750","0.850","0.720","-9.41%"
"10/29/2024","0.850","0.770","0.850","0.700","10.39%"
"10/28/2024","0.770","0.740","0.900","0.540","4.05%"
"10/25/2024","0.740","0.770","0.850","0.710","-5.13%"
"10/24/2024","0.780","0.720","0.850","0.710","0.00%"
"10/23/2024","0.780","0.710","0.820","0.700","4.00%"
"10/22/2024","0.750","0.740","0.850","0.730","1.35%"
"10/21/2024","0.740","0.740","0.900","0.720","0.00%"
"10/18/2024","0.740","0.740","0.820","0.730","1.37%"
"10/17/2024","0.730","0.720","0.830","0.700","-1.35%"
"10/16/2024","0.740","0.710","0.830","0.230","-6.33%"
"10/15/2024","0.790","0.690","0.850","0.670","0.00%"
"10/14/2024","0.790","0.670","0.830","0.670","19.70%"
"10/11/2024","0.660","0.700","0.900","0.660","-1.49%"
"10/10/2024","0.670","0.850","0.850","0.680","-8.22%"
"10/09/2024","0.730","0.730","0.850","0.710","-9.88%"
"10/08/2024","0.810","0.720","0.850","0.700","10.96%"
"10/07/2024","0.730","0.730","0.850","0.310","-9.88%"
"10/04/2024","0.810","0.800","0.880","0.700","19.12%"
"10/03/2024","0.680","0.640","0.810","0.630","6.25%"
"10/02/2024","0.640","0.650","0.880","0.610","-3.03%"
"10/01/2024","0.660","0.650","0.900","0.560","-18.52%"
"09/30/2024","0.810","0.640","0.850","0.620","0.00%"
"09/27/2024","0.810","0.680","0.870","0.650","24.62%"
"09/26/2024","0.650","0.640","0.850","0.630","18.18%"
"09/25/2024","0.550","0.580","0.910","0.550","-37.50%"
"09/24/2024","0.880","0.610","0.930","0.540","31.34%"
"09/23/2024","0.670","0.690","0.950","0.650","-10.67%"
"09/20/2024","0.750","1.000","1.000","0.720","-21.87%"
"09/19/2024","0.960","0.790","1.050","0.560","2.13%"
"09/18/2024","0.940","0.970","1.050","0.920","-3.09%"
"09/17/2024","0.970","0.960","1.050","0.950","0.00%"
"09/16/2024","0.970","0.950","1.050","0.940","-3.00%"
"09/13/2024","1.000","1.000","1.050","0.970","0.00%"
"09/12/2024","1.000","0.980","1.070","0.950","1.01%"
"09/11/2024","0.990","0.960","1.050","0.930","0.00%"
"09/10/2024","0.990","0.940","1.080","0.910","0.00%"
"09/09/2024","0.990","0.970","1.090","0.940","-6.60%"
"09/06/2024","1.060","0.990","1.150","0.950","7.07%"
"09/05/2024","0.990","0.980","1.300","0.970","-1.98%"
